No,Module,Page,Sub-Page,Session,Field,Description,DataType,Mapping_Type,Mapping_APIs_Database_Table,Mapping_Field_Name,Sample_Value,Remark
169,Order Management,Order Detail,Fulfillment Tab,Delivery Type Card,Delivery Type Label,Type of delivery method,VARCHAR(255),Direct,order,delivery_type,"Home Delivery, Click & Collect",Card title based on method
170,Order Management,Order Detail,Fulfillment Tab,Delivery Type Card,Item Count,Number of items for this delivery,INT,Logic,order_items,COUNT(*),3 items,Aggregated count
171,Order Management,Order Detail,Tracking Tab,Shipment Header,Tracking Number,Carrier tracking reference number,VARCHAR(255),Direct,shipments,tracking_number,TRACK123456789,External carrier tracking
172,Order Management,Order Detail,Tracking Tab,Shipment Header,Carrier Name,Shipping carrier name,VARCHAR(255),Direct,shipments,carrier_name,"DHL, FedEx, EMS",Carrier provider
173,Order Management,Order Detail,Tracking Tab,Shipment Details,Status,Current shipment status,VARCHAR(255),Fixed value,shipments,status,"IN_TRANSIT, DELIVERED, OUT_FOR_DELIVERY",Color coded status
174,Order Management,Order Detail,Tracking Tab,Shipment Details,ETA,Estimated time of arrival,TIMESTAMP,Direct,shipments,eta,2025-11-22,Estimated delivery date
175,Order Management,Order Detail,Tracking Tab,Shipment Details,Shipped On,When shipment was sent,TIMESTAMP,Formatted,shipments,shipped_at,2025-11-21 15:30:00,Actual ship date/time
176,Order Management,Order Detail,Tracking Tab,Recipient Info,Recipient Name,Person receiving shipment,VARCHAR(255),Direct,shipments,recipient_name,John Doe,Delivery recipient
177,Order Management,Order Detail,Tracking Tab,Recipient Info,Recipient Address,Complete shipping address,VARCHAR(500),Direct,shipments,recipient_address,"123 Street, City, State 12345",Full delivery address
178,Order Management,Order Detail,Tracking Tab,Shipped Items,Item SKU,Product SKU in shipment,VARCHAR(255),Direct,shipments,sku,SKU-123456,Shipped product identifier
179,Order Management,Order Detail,Tracking Tab,Shipped Items,Item Quantity,Quantity of item shipped,INT,Direct,shipments,quantity,2,Units shipped per item
180,Order Management,Order Detail,Audit Trail Tab,Audit Filters,Entity Category,Type of entity changed,VARCHAR(255),Fixed value,audit_trail,entity_type,"All, Order, Fulfillment, Payment, System",Filter dropdown options
181,Order Management,Order Detail,Audit Trail Tab,Audit Events,Updated By,User or system that made change,VARCHAR(255),Direct,audit_trail,updated_by,john.doe@company.com,Username or system identifier
182,Order Management,Order Detail,Audit Trail Tab,Audit Events,Updated On,When the change occurred,TIMESTAMP,Formatted,audit_trail,updated_at,2025-11-21 10:42:00,GMT+7 timestamp
183,Order Management,Order Detail,Audit Trail Tab,Audit Events,Entity Name,Name of changed entity,VARCHAR(255),Direct,audit_trail,entity_name,"Order, Line Item, Payment",What was changed
184,Order Management,Order Detail,Audit Trail Tab,Audit Events,Entity ID,ID of the changed entity,VARCHAR(255),Direct,audit_trail,entity_id,"ORD-001, ITEM-001",Entity identifier
185,Order Management,Order Detail,Audit Trail Tab,Audit Events,Changed Parameter,Field that was changed,VARCHAR(255),Direct,audit_trail,changed_field,"order_status, payment_status",Column/field name
186,Order Management,Order Detail,Audit Trail Tab,Audit Events,Old Value,Previous value before change,TEXT,Direct,audit_trail,old_value,PENDING,Previous state
187,Order Management,Order Detail,Audit Trail Tab,Audit Events,New Value,Current value after change,TEXT,Direct,audit_trail,new_value,PAID,Current state
